OBJECTID,CITY_NAME,POP_1980,POP_1990,POP_2000,POP_2010,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,CITY_NUMBER,YEAR,REST_UPDATED,REST_UTC_OFFSET,AREA_ACRE,PERIMETER_METER,Shape__Area,Shape__Length
11,Buckeye,154,105,110,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,2001,2019-10-08T09:31:26.062Z,-05:00,632.739537424181,6397.62116,4701885.17578125,8669.2541937241
12,Sheldon,5003,4904,4914,5188,109,0,3,12,15,79,273490,45,0,4,19,20,2,5,0,1,0,1,4,4,4,0,1,0,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,15,11,0,0,0,0,12,12,12,15,9,4,11,9,6,5,6,10,10,12,1,0,0,7,12,9,17,21,20,9,7,5,6950,2001,2019-10-08T09:31:26.062Z,-05:00,2792.76405714729,20639.20638,21264555.5664063,28305.3913815344
13,Hull,1714,1724,1960,2175,30,0,3,5,4,18,151744,17,0,3,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,2,0,1,0,1,1,1,8,1,1,1,4,2,1,5,4,1,1,1,0,0,0,1,7,1,1,6,5,3,3,1,3590,2001,2019-10-08T09:31:26.062Z,-05:00,759.104733935916,10427.49475,5781721.60546875,14303.4519742934
14,Lester,274,257,251,294,4,0,0,1,0,3,30650,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,4315,2001,2019-10-08T09:31:26.062Z,-05:00,1168.51592589195,9102.94298,8972217.6640625,12532.3808009483
15,Rock Rapids,2693,2601,2573,2549,29,1,0,3,3,22,109139,7,1,0,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,2,2,2,4,3,1,2,2,3,1,4,2,4,1,0,4,0,2,6,2,0,1,5,4,4,1,6542,2001,2019-10-08T09:31:26.062Z,-05:00,2535.93311608511,12793.3319,19462657.3007813,17617.8884703988
16,Burt,689,575,556,533,1,0,0,0,0,1,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,990,2001,2019-10-08T09:31:26.062Z,-05:00,270.398588433439,5599.99014,2060126.6953125,7683.05739910706
17,Manilla,1020,898,839,776,9,0,0,0,0,9,24200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,3,1,4695,2001,2019-10-08T09:31:26.062Z,-05:00,689.640500700588,10045.20318,5039890.734375,13501.6932157609
18,Latimer,441,430,535,507,6,0,0,2,1,3,20500,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,2,0,4230,2001,2019-10-08T09:31:26.062Z,-05:00,1565.93576285134,11685.63189,11764773.4882813,15924.237112256
19,Coulter,264,252,262,281,3,0,0,0,1,2,8000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1640,2001,2019-10-08T09:31:26.062Z,-05:00,1584.81217794933,10445.93708,11895178.6679688,14219.7713729969
20,Popejoy,112,92,78,79,1,0,0,0,0,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6180,2001,2019-10-08T09:31:26.062Z,-05:00,481.68867552723,5679.23308,3599386.68359375,7719.14976748831
